.NET Framework	ドットネットフレームワーク	.NET Framework	名詞,固有名詞,一般,*,*,*
.NET	ドットネット	.NET	名詞,固有名詞,一般,*,*,*
.comMaster★	ドットコムマスターシングルスター	.comMaster★	名詞,固有名詞,一般,*,*,*
.comMaster★★	ドットコムマスターダブルスター	.comMaster★★	名詞,固有名詞,一般,*,*,*
.commaster★	ドットコムマスターシングルスター	.comMaster★	名詞,固有名詞,一般,*,*,*
.commaster★★	ドットコムマスターダブルスター	.comMaster★★	名詞,固有名詞,一般,*,*,*
.hack//G.U.	ドットハックジーユー	.hack//G.U.	名詞,固有名詞,一般,*,*,*
.hack//g.u.	ドットハックジーユー	.hack//G.U.	名詞,固有名詞,一般,*,*,*
.net framework	ドットネットフレームワーク	.NET Framework	名詞,固有名詞,一般,*,*,*
.net	ドットネット	.NET	名詞,固有名詞,一般,*,*,*
.net	ネット	.net	名詞,固有名詞,一般,*,*,*
0039	ゼロゼロサンキュー	0039	名詞,固有名詞,一般,*,*,*
007	ダブルオーセブン	007	名詞,固有名詞,一般,*,*,*
007/ロシアより愛をこめて	ゼロゼロセブンロシアヨリアイヲコ	007/ロシアより愛をこめて	名詞,固有名詞,一般,*,*,*
0079カードビルダー	ダブルオーセブンティナインカード	0079カードビルダー	名詞,固有名詞,一般,*,*,*
0080	ダブルオーエイティー	0080	名詞,固有名詞,一般,*,*,*
0083	ダブルオーエイティスリー	0083	名詞,固有名詞,一般,*,*,*
009ノ1	ゼロゼロナインワン	009ノ1	名詞,固有名詞,一般,*,*,*
0120	フリーダイヤル	0120	名詞,固有名詞,一般,*,*,*
0462610110	ゼロヨンロクニー	0462610110	名詞,固有名詞,一般,*,*,*
0467	ゼロヨンロクナナ	0467	名詞,固有名詞,一般,*,*,*
0655	ゼロロクゴーゴー	0655	名詞,固有名詞,一般,*,*,*
0930	オクサマ	0930	名詞,固有名詞,一般,*,*,*
1!2!3!4!ヨロシク!	ワンツースリーフォーヨソシク	1!2!3!4!ヨロシク!	名詞,固有名詞,一般,*,*,*
1.FCディナモドレスデン	エアステエフツェーディナモトレスデン	1.FCディナモ・ドレスデン	名詞,固有名詞,一般,*,*,*
1.FCディナモ・ドレスデン	エアステエフツェーディナモトレスデン	1.FCディナモ・ドレスデン	名詞,固有名詞,一般,*,*,*
1.fcディナモドレスデン	エアステエフツェーディナモトレスデン	1.FCディナモ・ドレスデン	名詞,固有名詞,一般,*,*,*
1.fcディナモ・ドレスデン	エアステエフツェーディナモトレスデン	1.FCディナモ・ドレスデン	名詞,固有名詞,一般,*,*,*
10 years	テンイヤーズ	10 years	名詞,固有名詞,一般,*,*,*
10	ジュウ	10	名詞,固有名詞,一般,*,*,*
10-FEET&マキシマムザホルモン	テンフィートアンドマキシマムザホ	10-FEET&マキシマムザホルモン	名詞,固有名詞,一般,*,*,*
10-FEET	テンフィート	10-FEET	名詞,固有名詞,一般,*,*,*
10-feet&マキシマムザホルモン	テンフィートアンドマキシマムザホ	10-FEET&マキシマムザホルモン	名詞,固有名詞,一般,*,*,*
10-feet	テンフィート	10-FEET	名詞,固有名詞,一般,*,*,*
100%ハロプロ	ヒャクパーセント	100%ハロプロ	名詞,固有名詞,一般,*,*,*
1001のバイオリン	センイチノハイオリン	1001のバイオリン	名詞,固有名詞,一般,*,*,*
100万回のIloveyou	ヒャクマンカイノアイラブユー	100万回のIloveyou	名詞,固有名詞,一般,*,*,*
100万回のiloveyou	ヒャクマンカイノアイラブユー	100万回のIloveyou	名詞,固有名詞,一般,*,*,*
1019	センジュウキュウ	1019	名詞,固有名詞,一般,*,*,*
109	イチマルキュー	109	名詞,固有名詞,一般,*,*,*
10の交通系ICカードによる全国相互利用サービス	ジュウノコウツウケイアイシーカードニヨルゼンコクソウゴリヨウサー	10の交通系ICカードによる全国相互利用サービス	名詞,固有名詞,一般,*,*,*
10の交通系icカードによる全国相互利用サービス	ジュウノコウツウケイアイシーカードニヨルゼンコクソウゴリヨウサー	10の交通系ICカードによる全国相互利用サービス	名詞,固有名詞,一般,*,*,*
10ナンバーズからっと	テンナンバーカラット	10ナンバーズ・からっと	名詞,固有名詞,一般,*,*,*
10ナンバーズ・からっと	テンナンバーカラット	10ナンバーズ・からっと	名詞,固有名詞,一般,*,*,*
10人抜きのど自慢	ジュウニンヌキノドジマン	10人抜きのど自慢	名詞,固有名詞,一般,*,*,*
10代とともに	ジュウダイトトモニ	10代とともに	名詞,固有名詞,一般,*,*,*
10億円稼ぐ	ジュウオクエンカセグ	10億円稼ぐ	名詞,固有名詞,一般,*,*,*
10年目だよ!見なきゃソンSONGジャニーズカウントダウン歌合戦	ジュウネンメダヨミナキャソンソン	10年目だよ!見なきゃソンSONGジャニーズカウントダウン歌合戦	名詞,固有名詞,一般,*,*,*
10年目だよ!見なきゃソンsongジャニーズカウントダウン歌合戦	ジュウネンメダヨミナキャソンソン	10年目だよ!見なきゃソンSONGジャニーズカウントダウン歌合戦	名詞,固有名詞,一般,*,*,*
10日間くらい更新をお休みします	トウカカングライコウシンヲオヤス	10日間くらい更新をお休みします	名詞,固有名詞,一般,*,*,*
10日間で男を上手にフル方法	トオカカンデオトコヲジョウズニフ	10日間で男を上手にフル方法	名詞,固有名詞,一般,*,*,*
11	イレブン	11	名詞,固有名詞,一般,*,*,*
117	イチイチナナ	1・17	名詞,固有名詞,一般,*,*,*
11eyes-罪と罰と贖いの少女-	イレブンアイズツミトバツトアガナイノショウジョ	11eyes-罪と罰と贖いの少女-	名詞,固有名詞,一般,*,*,*
11月11日11:11:11を取るお題	ジュウイチガツジュウイチニチジュウイチジジュウイップンジュウイチ	11月11日11:11:11を取るお題	名詞,固有名詞,一般,*,*,*
12	ジュウニ	12	名詞,固有名詞,一般,*,*,*
12012	イチニーゼロイチニ	12012	名詞,固有名詞,一般,*,*,*
1212	ワンツウワンツウ	1212	名詞,固有名詞,一般,*,*,*
12345	イチマンニセンサンビャクヨンジュウゴ	12345	名詞,固有名詞,一般,*,*,*
123D	ワンツースリーディー	123D	名詞,固有名詞,一般,*,*,*
123d	ワンツースリーディー	123D	名詞,固有名詞,一般,*,*,*
123~恋がはじまる~	ワンツースリーコイガハジマル	123~恋がはじまる~	名詞,固有名詞,一般,*,*,*
123恋がはじまる	ワンツースリーコイガハジマル	123~恋がはじまる~	名詞,固有名詞,一般,*,*,*
